"R0000100","R0532200","R0536300","R0536402","R0552200","R0690800","R0691200","R1482600","S1249300","T1067500","T3162503","T9110400","U3572700","U4370902","U4370904","U4370905","Z9073400","Z9149100"
160,0,2,1981,1,-4,-4,2,0,0,2,0,1,0,2,0,-4,0
161,0,1,1982,1,-4,-4,2,1,0,-5,0,3,0,0,0,-4,0
162,0,2,1981,12,-4,-4,1,0,0,4,0,5,-1,-1,-1,1,3
163,0,1,1983,12,-4,0,1,0,0,-5,0,-5,-5,-5,-5,-4,0
164,1,2,1981,5,-4,-4,4,0,0,3,0,3,0,0,0,1,3
165,1,1,1980,-4,-4,-4,4,0,0,1,0,5,0,1,1,-4,1
166,1,2,1982,-4,-4,-4,4,0,0,5,0,5,0,1,0,-4,1
167,1,1,1984,1,-4,0,2,0,0,6,0,3,0,0,0,-4,0
168,1,1,1981,1,-4,-4,2,0,0,5,-5,3,0,1,1,-4,1
169,1,2,1983,1,0,-4,4,0,0,6,0,2,1,0,0,-4,0
170,1,2,1984,1,0,-4,4,0,0,6,0,5,0,0,0,-4,0
171,1,2,1984,1,0,-4,2,0,0,1,0,3,0,0,0,-4,1
172,1,1,1983,3,-4,0,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,1
173,1,2,1980,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
174,1,1,1983,1,-4,0,4,-5,-5,-5,-5,5,0,1,0,-4,0
175,1,2,1981,1,-4,-4,4,0,0,3,-5,-5,-5,-5,-5,-4,0
176,1,1,1982,1,-4,-4,4,0,0,3,0,5,0,0,0,-4,1
177,1,2,1980,2,-4,-4,4,0,0,5,0,6,0,1,0,-4,1
178,1,2,1980,1,-4,-4,4,-5,0,-5,0,6,0,0,0,-4,1
179,1,2,1981,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
180,1,1,1983,1,-4,0,4,-5,0,-5,0,-5,-5,-5,-5,-4,1
181,1,2,1982,7,-4,-4,4,0,0,1,0,7,1,1,0,1,1
182,1,2,1984,7,0,-4,4,0,0,5,0,5,0,1,1,-4,1
183,1,2,1980,3,-4,-4,4,0,0,4,0,5,1,1,1,-4,0
184,1,1,1984,12,-4,0,4,0,0,1,-5,-5,-5,-5,-5,-4,0
185,0,1,1981,2,-4,-4,1,0,0,2,0,-5,-5,-5,-5,-4,0
186,1,2,1983,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
187,1,1,1983,1,-4,0,2,0,0,1,0,5,0,0,0,-4,1
188,0,2,1980,1,-4,-4,4,-5,-5,-5,0,5,0,0,0,-4,0
189,0,2,1984,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
190,0,1,1983,3,-4,0,4,0,-5,2,0,3,0,2,0,-4,0
191,0,1,1982,6,-4,-4,4,0,0,4,0,3,0,0,0,-4,1
192,0,2,1982,1,-4,-4,2,0,0,4,0,4,0,0,0,-4,0
193,0,2,1981,1,-4,-4,1,0,0,1,0,3,0,2,0,1,3
194,0,2,1980,13,-4,-4,2,0,0,1,0,4,0,3,0,-4,1
195,0,1,1983,2,-4,0,1,0,0,7,0,3,0,0,0,-4,0
196,1,1,1984,1,-4,1,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
197,1,2,1981,1,-4,-4,4,-5,-5,-5,0,6,0,0,0,-4,1
198,0,2,1980,-4,-4,-4,4,0,0,1,0,3,0,0,0,-4,1
199,1,1,1982,15,-4,-4,4,0,0,6,0,5,0,1,1,1,3
200,0,1,1980,1,-4,1,4,0,0,2,0,3,2,0,2,-4,1
201,1,2,1983,27,1,-4,4,0,0,4,0,6,0,1,0,-4,0
202,1,1,1982,-4,-4,-4,4,0,0,2,0,2,0,0,0,-4,1
